"","UserID","First_TransDate_Ga","Total_Stakes_Ga","Max_Stakes_Ga","Mean_Stakes_Ga","Total_Winnings_Ga","Max_Winnings_Ga","Mean_Winnings_Ga","Total_Bets_Ga","Length_Play_Ga","LastDay_Ga","No_Days_Played_Ga","No_Months_Played_Ga","Most_Played_Month_Ga","MostPlayed_Day_Ga","Stakes_Last_Day_Ga","Winnings_Last_Day_Ga","Bets_Last_Day_Ga","Profit_Ga"
"3287",1392917,2005-03-27,1,1,1,0,0,0,1,0,2005-03-27,1,1,"3","Sunday",1,0,1,1
"3288",1392926,2005-03-06,24.7,13,8.2,9,7.5,3,13,29,2005-04-04,3,2,"4","Monday",1.7449,1.5127,2,15.7
"3289",1392938,2005-03-31,164.1,58.06,23.4,122.8,54.7,17.5,110,97,2005-07-06,5,3,"4","Tuesday",28.5,15.5,23,41.3
"3290",1392948,2005-03-18,274.4,202.5663,68.6,253.3,190.2949,63.3,348,181,2005-09-15,4,2,"3","Friday",10.4005,11.1091,16,21.1
"3291",1392955,2005-02-26,10,6.4,3.3,8.2,5.28,2.8,3,49,2005-04-16,3,2,"4","Saturday",3.2,2.64,1,1.8
"3292",1392984,2005-05-28,145.5,84,36.4,91.8,49,22.9,131,28,2005-06-25,4,2,"5","Saturday",5,1,4,53.7
"3293",1392985,2005-03-13,309.6,217.15,77.4,327.5,198.59,81.9,111,14,2005-03-27,3,1,"3","Sunday",217.15,198.59,37,-17.9
"3294",1393028,2005-03-26,39.5,29.5,13.2,24.5,22.75,8.2,73,3,2005-03-29,2,1,"3","Saturday",29.5,22.75,59,15
"3295",1393042,2005-03-17,3.3,1.73,1.7,1.6,0.97,0.8,5,11,2005-03-28,2,1,"3","Monday",1.73,0.97,2,1.7
"3296",1393057,2005-02-25,145.6,70.9,29.1,110,40,22,402,191,2005-09-04,4,2,"2","Friday",8.4,6.3,28,35.6
"3297",1393070,2005-06-18,4955.6,845,247.8,5090.8,816.075,254.5,1423,100,2005-09-26,20,4,"7","Thursday",12.5,0,7,-135.2
"3298",1393127,2005-03-12,880.5,429.5949,80,842.1,411.2629,76.6,607,201,2005-09-29,10,2,"9","Saturday",38.7584,33.7183,34,38.4
"3299",1393171,2005-08-02,3,3,3,0,0,0,3,0,2005-08-02,1,1,"8","Tuesday",3,0,3,3
"3300",1393181,2005-09-21,34.9,34.9113,34.9,26.1,26.1219,26.1,44,0,2005-09-21,1,1,"9","Wednesday",34.9113,26.1219,44,8.8
"3301",1393207,2005-04-08,2.4,2.4464,2.4,0,0,0,2,0,2005-04-08,1,1,"4","Friday",2.4464,0,2,2.4
"3302",1393223,2005-02-25,1984.2,704.7,152.6,1353.6,503.36,104.1,425,10,2005-03-07,9,2,"3","Saturday",150.07,94.49,46,630.6
"3303",1393261,2005-04-13,0.7,0.6711,0.7,0,0,0,1,0,2005-04-13,1,1,"4","Wednesday",0.6711,0,1,0.7
"3304",1393288,2005-03-03,21.5,21.4996,21.5,18.1,18.1403,18.1,29,0,2005-03-03,1,1,"3","Thursday",21.4996,18.1403,29,3.4
"3305",1393290,2005-04-10,132.5,132.48,132.5,127.2,127.1735,127.2,171,0,2005-04-10,1,1,"4","Sunday",132.48,127.1735,171,5.3
"3306",1393334,2005-09-23,1787.8,341.82,223.5,1950,430.36,243.8,1181,7,2005-09-30,8,1,"9","Friday",200.11,242.54,105,-162.2
"3307",1393343,2005-04-28,26,19.5,6.5,23.5,11,5.9,52,122,2005-08-28,4,3,"4","Sunday",1,1.5,2,2.5
"3308",1393349,2005-03-15,8,8,8,6.6,6.6,6.6,1,0,2005-03-15,1,1,"3","Tuesday",8,6.6,1,1.4
"3309",1393358,2005-03-07,2,2,2,1,1,1,2,0,2005-03-07,1,1,"3","Monday",2,1,2,1
"3310",1393384,2005-06-01,45,26,22.5,17.5,17.5,8.8,26,0,2005-06-01,1,1,"6","Wednesday",45,17.5,26,27.5
"3311",1393386,2005-04-10,20.8,12,6.9,6.7,6.69,2.2,20,73,2005-06-22,3,2,"6","Sunday",12,0,11,14.1
