,energy1,energy1label,energy2,energy2label,reference,modified,published,municipality,adressdescription,postalcode,euro/m²,price,honoraires,heating,rooms,pieces,dummygarden,bathroom,dummyterrace,dummycellar,dummyparking,dummyelevator,livingsurface,totalsurface
320,380,F,12,C,SO1617,23 oct  2019 ,,Roubaix,Epeule - Trichon ,59100 ,1698.0,99000, honoraires à la charge du vendeur, radiateur électrique individuel, 2, 3 ,,,,,,,30,
321,198,D,8,B,1368114,17 dec  2019 ,6 dec  2019 ,Tourcoing,Blanche Porte - Flocon ,59200 ,2690.0,156000, honoraires à la charge du vendeur,, 2, 3 ,,,,,,1.0, 58,
322,Vierge,NA,Vierge,NA,TAPP409446,29 nov  2019 ,,Tourcoing,Gambetta ,59200 ,1912.0,109000, honoraires à la charge du vendeur, Radiateur Electrique, 2, 3 ,, 1 ,,,1.0,1.0, 57,
323,Vierge,NA,En cours de réalisation,NA,1038,6 dec  2019 ,,Tourcoing,Centre-ville ,59200 ,1875.0,105000, honoraires à la charge du vendeur, électricité individuel, 2, 3 ,, 1 ,,,1.0,1.0, 56,
324,372,F,En cours de réalisation,NA,926,6 dec  2019 ,,Tourcoing,Centre-ville ,59200 ,2393.0,134000, honoraires à la charge du vendeur, gaz individuel, 2, 3 ,, 1 ,,,,, 56,
325,NA,NA,NA,NA,Roubaix,17 dec  2019 ,,Roubaix,Barbieux - Edouard Vaillant - Vauban ,59100 ,3750.0,210000,,,, 3 ,,,,,1.0,1.0, 56,
326,Vierge,NA,,G,so1714,29 nov  2019 ,26 oct  2019 ,Roubaix,Moulin - Potennerie ,59100 ,1109.0,61000, honoraires à la charge du vendeur, radiateur gaz individuel, 2, 5 ,, 1 ,,,,, 55,
327,264,E,61,F,27618111,13 nov  2019 ,29 oct  2019 ,Tourcoing,,59200,1982.0,109000, honoraires à la charge du vendeur, RADIATEUR GAZ COLLECTIF, 2, 3 ,1.0,,1.0,1.0,,1.0,,
328,Vierge,NA,Vierge,NA,TAPP416810A,1 dec  2019 ,27 nov  2019 ,Tourcoing,Gambetta ,59200 ,1566.0,86000, honoraires à la charge du vendeur, Radiateur Electrique Individuel, 1, 2 ,, 1 ,,,1.0,1.0,93,
329,200,D,15,C,22858796,18 dec  2019 ,,Tourcoing,,59200,1833.0,99000, honoraires à la charge du vendeur, RADIATEUR ELECTRICITE INDIVIDUEL, 1, 2 ,1.0, 1 ,,,,,,
330,191,D,7,B,VA23480-IMMOTRAM2,5 dec  2019 ,,Roubaix,,59100,1944.0,113000,  7, électricité individuel, 3, 4 ,, 1 ,,,,, 54,
331,194,D,45,E,120901E1E30Y,,9 dec  2019 ,Roubaix,Fresnoy - Mackellerie ,59100 ,1877.0,97500, honoraires à la charge du vendeur, individuel, 1, 2 ,, 1 ,,,1.0,1.0,95,
332,,E,En cours de réalisation,NA,Feydeau_T3_ANCIEN_KB,,3 dec  2019 ,Roubaix,Fraternité - Chemin Neuf - Justice ,59100 ,1139.0,58100,, gaz collectif, 2, 3 ,,,,1.0,,, 51,
333,,E,En cours de réalisation,NA,lamartine_T3_51m__ANCIEN_DI,18 dec  2019 ,17 dec  2019 ,Tourcoing,Croix Rouge ,59200 ,1373.0,70000,,, 2, 3 ,,,,,,, 51,
334,150,C,41,E,120902E1FATL,10 dec  2019 ,,Roubaix,Epeule - Trichon ,59100 ,1669.0,84900, honoraires à la charge du vendeur, collectif, 1, 2 ,, 1 ,,,,1.0,87,
335,NA,NA,NA,NA,857,10 dec  2019 ,,Tourcoing,Gambetta ,59200 ,2951.0,148800, honoraires à la charge du vendeur, Individuel Radiateur Gaz, 1, 2 ,, 1 ,,,1.0,1.0,43,
336,Vierge,NA,Vierge,NA,TMAI108702,29 nov  2019 ,,Roubaix,Moulin - Potennerie ,59100 ,1320.0,66000, honoraires à la charge du vendeur, Radiateur Gaz Individuel, 2, 3 ,1.0, 1 ,,,,, 50,50.0
337,En cours de réalisation,NA,En cours de réalisation,NA,4638,,9 dec  2019 ,Tourcoing,,59200,1420.0,71000, honoraires à la charge du vendeur,, 1, 2 ,, 1 ,,,,, 50,
338,157,D,36,E,TAPP415519,29 nov  2019 ,,Roubaix,Cul du Four ,59100 ,1430.0,71500, honoraires à la charge du vendeur, Individuel, 2, 3 ,, 1 ,,,,, 50,
339,158,D,37,E,1311606,28 nov  2019 ,,Roubaix,Gare Jean Lebas ,59100 ,1620.0,81000, honoraires à la charge du vendeur, gaz collectif, 1, 2 ,,,,1.0,,1.0, 50,
340,244,E,7,B,12281174,,,Tourcoing,,59200,1327.0,65000, honoraires à la charge du vendeur, AIR PULSE SOLAIRE INDIVIDUEL, 2, 3 ,, 1 ,,,,, 49,
341,250,E,20,C,1334293,1 nov  2019 ,24 oct  2019 ,Roubaix,Centre-ville - Crouy ,59100 ,1857.0,91000, honoraires à la charge du vendeur,, 1, 2 ,, 1 ,,,1.0,1.0, 49,
342,,A,En cours de réalisation,NA,43355,,18 dec  2019 ,Roubaix,,59100,2548.0,124842,,, 1, 2 ,, 1 ,,,,, 49,
343,Non soumis,NA,En cours de réalisation,NA,VA23542-IMMOTRAM2,,,Roubaix,,59100,3265.0,169000,  5, électricité individuel, 1, 2 ,, 1 ,,1.0,1.0,1.0, 49,
344,231,E,11,C,CO13755,,,Roubaix,Fraternité - Chemin Neuf - Justice ,59100 ,1881.0,92000, honoraires à la charge du vendeur,, 1, 2 ,, 1 ,,,1.0,,92,
345,Vierge,NA,Vierge,NA,TAPP422007,,18 dec  2019 ,Tourcoing,Gambetta ,59200 ,2012.0,98000, honoraires à la charge du vendeur, Radiateur Electrique Individuel, 12, 2 ,, 1 ,,,1.0,1.0,70,
